short_code,name,category,variation,food_type,available,base_price,parcel_price,swiggy,zomato,flyer_eats
110,Schezwan Egg Fried Rice,Fried Rice Varities,,egg,yes,140,,,,
111,Chicken Fried Rice,Fried Rice Varities,,non_veg,yes,150,,,,
112,Schezwan Chicken Fried Rice,Fried Rice Varities,,non_veg,yes,160,,,,
333,Mixed Veg Fried Rice,Fried Rice Varities,,veg,yes,0,,,,
333,Mixed Veg Fried Rice,Fried Rice Varities,Normal,veg,yes,170,,,,
333,Mixed Veg Fried Rice,Fried Rice Varities,Schezwan,veg,yes,180,,,,
503,Mixed Non-Veg Fried Rice,Fried Rice Varities,,non_veg,yes,0,,,,
503,Mixed Non-Veg Fried Rice,Fried Rice Varities,Normal,non_veg,yes,220,,,,
503,Mixed Non-Veg Fried Rice,Fried Rice Varities,Schezwan,non_veg,yes,230,,,,
59,Veg Noodles,Noodles Varities,,veg,yes,110,,,,
60,Schezwan Veg Noodles,Noodles Varities,,veg,yes,120,,,,
576,Gobi Noodles,Noodles Varities,,veg,yes,120,,,,
546,Schezwan Gobi Noodles,Noodles Varities,,veg,yes,130,,,,
62,Paneer Nooldes,Noodles Varities,,veg,yes,140,,,,
548,Schezwan Paneer Noodles,Noodles Varities,,veg,yes,150,,,,
61,Mushroom Noodles,Noodles Varities,,veg,yes,130,,,,
549,Schezwan Mushroom Nooldes,Noodles Varities,,veg,yes,140,,,,
105,Egg Noodles,Noodles Varities,,egg,yes,130,,,,
106,Schezwan Egg Noodles,Noodles Varities,,egg,yes,140,,,,
107,Chicken Noodles,Noodles Varities,,non_veg,yes,150,,,,
108,Schezwan Chicken Noodles,Noodles Varities,,non_veg,yes,160,,,,
519,Mixed Veg Noodles,Noodles Varities,,veg,yes,0,,,,
519,Mixed Veg Noodles,Noodles Varities,Normal,veg,yes,170,,,,
519,Mixed Veg Noodles,Noodles Varities,Schezwan,veg,yes,180,,,,
518,Mixed Non-Veg Noodles,Noodles Varities,,non_veg,yes,0,,,,
518,Mixed Non-Veg Noodles,Noodles Varities,Normal,non_veg,yes,220,,,,
518,Mixed Non-Veg Noodles,Noodles Varities,Schezwan,non_veg,yes,230,,,,
55,Paneer Butter Masala,Veg Gravy Varities,,veg,yes,150,,,,
56,Mushroom Masala,Veg Gravy Varities,,veg,yes,130,,,,
307,Gobi Masala,Veg Gravy Varities,,veg,yes,140,,,,
58,Mixed Veg Gravy,Veg Gravy Varities,,veg,yes,160,,,,
44,Gobi Chilly,Veg Dry Varities,,veg,yes,90,,,,
46,Gobi 65,Veg Dry Varities,,veg,yes,100,,,,
578,Gobi Pepper Fry,Veg Dry Varities,,veg,yes,130,,,,
45,Gobi Manchurian,Veg Dry Varities,,veg,yes,140,,,,
47,Mushroom Chilly,Veg Dry Varities,,veg,yes,100,,,,
48,Mushroom 65,Veg Dry Varities,,veg,yes,140,,,,
49,Mushroom Pepper Fry,Veg Dry Varities,,veg,yes,140,,,,
171,Mushroom Manchurian,Veg Dry Varities,,veg,yes,150,,,,
50,Paneer Chilly,Veg Dry Varities,,veg,yes,140,,,,
514,Paneer 65,Veg Dry Varities,,veg,yes,150,,,,
488,Paneer Pepper Fry,Veg Dry Varities,,veg,yes,160,,,,
385,Paneer Manchurian,Veg Dry Varities,,veg,yes,170,,,,
136,Plain Gravy,Non-veg Gravy Dishes,,non_veg,yes,100,,,,
465,Chettinad Chicken Gravy,Non-veg Gravy Dishes,,non_veg,yes,0,,,,
465,Chettinad Chicken Gravy,Non-veg Gravy Dishes,Bone,non_veg,yes,200,,,,
465,Chettinad Chicken Gravy,Non-veg Gravy Dishes,Boneless,non_veg,yes,270,,,,
466,Pepper Chicken Gravy,Non-veg Gravy Dishes,,non_veg,yes,0,,,,
466,Pepper Chicken Gravy,Non-veg Gravy Dishes,Bone,non_veg,yes,210,,,,
466,Pepper Chicken Gravy,Non-veg Gravy Dishes,Boneless,non_veg,yes,270,,,,
133,Butter Chicken Gravy,Non-veg Gravy Dishes,,non_veg,yes,0,,,,
133,Butter Chicken Gravy,Non-veg Gravy Dishes,Bone,non_veg,yes,210,,,,
133,Butter Chicken Gravy,Non-veg Gravy Dishes,Boneless,non_veg,yes,270,,,,
135,Garlic Chicken Gravy,Non-veg Gravy Dishes,,non_veg,yes,0,,,,
135,Garlic Chicken Gravy,Non-veg Gravy Dishes,Bone,non_veg,yes,210,,,,
135,Garlic Chicken Gravy,Non-veg Gravy Dishes,Boneless,non_veg,yes,270,,,,
134,Ginger Chicken Gravy,Non-veg Gravy Dishes,,non_veg,yes,0,,,,
134,Ginger Chicken Gravy,Non-veg Gravy Dishes,Bone,non_veg,yes,210,,,,
134,Ginger Chicken Gravy,Non-veg Gravy Dishes,Boneless,non_veg,yes,270,,,,
504,Ginger Garlic Gravy,Non-veg Gravy Dishes,,non_veg,yes,0,,,,
504,Ginger Garlic Gravy,Non-veg Gravy Dishes,Bone,non_veg,yes,210,,,,
504,Ginger Garlic Gravy,Non-veg Gravy Dishes,Boneless,non_veg,yes,270,,,,
361,Hyderabad Chicken Gravy,Non-veg Gravy Dishes,,non_veg,yes,0,,,,
361,Hyderabad Chicken Gravy,Non-veg Gravy Dishes,Bone,non_veg,yes,210,,,,
361,Hyderabad Chicken Gravy,Non-veg Gravy Dishes,Boneless,non_veg,yes,280,,,,
128,Chicken Leg Piece Gravy,Non-veg Gravy Dishes,,non_veg,yes,250,,,,
496,Chilly Chicken Gravy,Non-veg Gravy Dishes,,non_veg,yes,0,,,,
496,Chilly Chicken Gravy,Non-veg Gravy Dishes,Bone,non_veg,yes,210,,,,
496,Chilly Chicken Gravy,Non-veg Gravy Dishes,Boneless,non_veg,yes,270,,,,
571,Chicken Pallipalayam Gravy,Non-veg Gravy Dishes,,non_veg,yes,0,,,,
571,Chicken Pallipalayam Gravy,Non-veg Gravy Dishes,Bone,non_veg,yes,210,,,,
571,Chicken Pallipalayam Gravy,Non-veg Gravy Dishes,Boneless,non_veg,yes,280,,,,
572,Chicken Sinthamani Gravy,Non-veg Gravy Dishes,,non_veg,yes,0,,,,
572,Chicken Sinthamani Gravy,Non-veg Gravy Dishes,Bone,non_veg,yes,220,,,,
572,Chicken Sinthamani Gravy,Non-veg Gravy Dishes,Boneless,non_veg,yes,290,,,,
305,Chilli Bone,Non-veg Dry Dishes,,non_veg,yes,0,,,,
305,Chilli Bone,Non-veg Dry Dishes,Half,non_veg,yes,100,,,,
305,Chilli Bone,Non-veg Dry Dishes,Full,non_veg,yes,200,,,,
334,Chilli Boneless,Non-veg Dry Dishes,,non_veg,yes,0,,,,
334,Chilli Boneless,Non-veg Dry Dishes,Half,non_veg,yes,180,,,,
334,Chilli Boneless,Non-veg Dry Dishes,Full,non_veg,yes,350,,,,
115,Chicken Fry Bone [Half],Non-veg Dry Dishes,,non_veg,yes,160,,,,
310,Chicken 65 [half],Non-veg Dry Dishes,,non_veg,yes,0,,,,
310,Chicken 65 [half],Non-veg Dry Dishes,Bone,non_veg,yes,120,,,,
310,Chicken 65 [half],Non-veg Dry Dishes,Boneless,non_veg,yes,190,,,,
118,Chicken Pakkoda [Half],Non-veg Dry Dishes,,non_veg,yes,0,,,,
118,Chicken Pakkoda [Half],Non-veg Dry Dishes,Bone,non_veg,yes,130,,,,
118,Chicken Pakkoda [Half],Non-veg Dry Dishes,Boneless,non_veg,yes,200,,,,
117,Chicken Manchurian [Half],Non-veg Dry Dishes,,non_veg,yes,0,,,,
117,Chicken Manchurian [Half],Non-veg Dry Dishes,Bone,non_veg,yes,130,,,,
117,Chicken Manchurian [Half],Non-veg Dry Dishes,Boneless,non_veg,yes,200,,,,
474,Pepper Chicken Dry,Non-veg Dry Dishes,,non_veg,yes,0,,,,
474,Pepper Chicken Dry,Non-veg Dry Dishes,Bone,non_veg,yes,130,,,,
474,Pepper Chicken Dry,Non-veg Dry Dishes,Boneless,non_veg,yes,200,,,,
413,Hot Pepper Chicken [Half],Non-veg Dry Dishes,,non_veg,yes,0,,,,
413,Hot Pepper Chicken [Half],Non-veg Dry Dishes,Bone,non_veg,yes,130,,,,
413,Hot Pepper Chicken [Half],Non-veg Dry Dishes,Boneless,non_veg,yes,200,,,,
120,Chicken Chukka [Half],Non-veg Dry Dishes,,non_veg,yes,0,,,,
120,Chicken Chukka [Half],Non-veg Dry Dishes,Bone,non_veg,yes,130,,,,
120,Chicken Chukka [Half],Non-veg Dry Dishes,Boneless,non_veg,yes,200,,,,
335,Schezwan Chicken [Half],Non-veg Dry Dishes,,non_veg,yes,0,,,,
335,Schezwan Chicken [Half],Non-veg Dry Dishes,Bone,non_veg,yes,140,,,,
335,Schezwan Chicken [Half],Non-veg Dry Dishes,Boneless,non_veg,yes,220,,,,
573,Hyderabad Chicken [Half],Non-veg Dry Dishes,,non_veg,yes,0,,,,
573,Hyderabad Chicken [Half],Non-veg Dry Dishes,Bone,non_veg,yes,140,,,,
573,Hyderabad Chicken [Half],Non-veg Dry Dishes,Boneless,non_veg,yes,230,,,,
119,Chicken Pallipalayam [Half],Non-veg Dry Dishes,,non_veg,yes,0,,,,
119,Chicken Pallipalayam [Half],Non-veg Dry Dishes,Bone,non_veg,yes,150,,,,
119,Chicken Pallipalayam [Half],Non-veg Dry Dishes,Boneless,non_veg,yes,230,,,,
170,Super Chicken [2 Pieces],Non-veg Dry Dishes,,non_veg,yes,160,,,,
147,Nattukozhi Kulambu,Non-veg Dry Dishes,,non_veg,yes,240,,,,
582,Chicken Sintamani Dry [Half],Non-veg Dry Dishes,,non_veg,yes,0,,,,
582,Chicken Sintamani Dry [Half],Non-veg Dry Dishes,Bone,non_veg,yes,160,,,,
582,Chicken Sintamani Dry [Half],Non-veg Dry Dishes,Boneless,non_veg,yes,220,,,,
137,Mutton Fry [half],Mutton Dry Varities,,non_veg,yes,220,,,,
139,Mutton Chukka [half],Mutton Dry Varities,,non_veg,yes,240,,,,
144,Mutton Masala [half],Mutton Dry Varities,,non_veg,yes,260,,,,
574,Mutton Pallipalayam [half],Mutton Dry Varities,,non_veg,yes,260,,,,
141,Kudal Fry [Half],Mutton Dry Varities,,non_veg,yes,160,,,,
142,Kudal Egg Fry [Half],Mutton Dry Varities,,non_veg,yes,180,,,,
145,Kudal Masala [Half],Mutton Dry Varities,,non_veg,yes,210,,,,
148,Kaadai Roast [1 Piece],Kaadai Varities,,non_veg,yes,130,,,,
152,Kaadai Chilly,Kaadai Varities,,non_veg,yes,140,,,,
150,Kaadai Fry,Kaadai Varities,,non_veg,yes,160,,,,
149,Kaadai Masala,Kaadai Varities,,non_veg,yes,210,,,,
420,Fish Kulambu,Sea Food Varities,,non_veg,yes,70,,,,
155,Cutla Fish Roast [1 Piece],Sea Food Varities,,non_veg,yes,60,,,,
156,Chilly Fish [12 Pieces],Sea Food Varities,,non_veg,yes,160,,,,
352,Fish Finger 80Gms,Sea Food Varities,,non_veg,yes,160,,,,
440,Fish Cutlet [1 Piece],Sea Food Varities,,non_veg,yes,50,,,,
353,Fish Manchurian,Sea Food Varities,,non_veg,yes,170,,,,
306,Fish Masala,Sea Food Varities,,non_veg,yes,180,,,,
437,Nethili Fish Chilly,Sea Food Varities,,non_veg,yes,170,,,,
438,Nethili Fish Masala,Sea Food Varities,,non_veg,yes,200,,,,
159,Prawn Chilly,Sea Food Varities,,non_veg,yes,200,,,,
158,Prawn Pepper Fry,Sea Food Varities,,non_veg,yes,210,,,,
462,Prawn Manchurian,Sea Food Varities,,non_veg,yes,220,,,,
168,Prawn Masala,Sea Food Varities,,non_veg,yes,260,,,,
463,Garlic Prawns,Sea Food Varities,,non_veg,yes,250,,,,
436,Crab Lollipop [1 Piece],Sea Food Varities,,non_veg,yes,50,,,,
34,Naan [1 Piece],Tandoori Bread Varities,,veg,yes,40,,,,
35,Butter Naan [1 Piece],Tandoori Bread Varities,,veg,yes,60,,,,
379,Garlic Naan [1 Piece],Tandoori Bread Varities,,veg,yes,70,,,,
36,Roti [1 Piece],Tandoori Bread Varities,,veg,yes,40,,,,
428,Butter Roti [1 Piece],Tandoori Bread Varities,,veg,yes,60,,,,
412,Grill Chicken,Grill Items,,non_veg,yes,0,,,,
412,Grill Chicken,Grill Items,Quarter,non_veg,yes,120,,,,
412,Grill Chicken,Grill Items,Half,non_veg,yes,220,,,,
412,Grill Chicken,Grill Items,Full,non_veg,yes,440,,,,
494,Grill Pepper Fry,Grill Items,,veg,yes,0,,,,
494,Grill Pepper Fry,Grill Items,Quarter,veg,yes,140,,,,
494,Grill Pepper Fry,Grill Items,Half,veg,yes,260,,,,
494,Grill Pepper Fry,Grill Items,Full,veg,yes,480,,,,
411,Tandoori Chicken,Tandoori Items,,non_veg,yes,0,,,,
411,Tandoori Chicken,Tandoori Items,Quarter,non_veg,yes,120,,,,
411,Tandoori Chicken,Tandoori Items,Half,non_veg,yes,220,,,,
411,Tandoori Chicken,Tandoori Items,Full,non_veg,yes,440,,,,
441,Shawarma Roll,Shawarma Varities,,non_veg,yes,100,,,,
442,Shawarma Plate,Shawarma Varities,,non_veg,yes,200,,,,
,Chocolate Lasagne [Online],Desserts,,veg,yes,155,,,,
,Misti Doi [Online],Desserts,,veg,yes,60,,,,
,Phirni [Online],Desserts,,veg,yes,120,,,,
,Aam Panna [Online],Beverages,,veg,yes,90,,,,
,Kitkat Shake [Online],Beverages,,veg,yes,155,,,,
,Lemon Ice Tea [Online],Beverages,,veg,yes,85,,,,
,Mint Mojito [Online],Beverages,,veg,yes,100,,,,
533,Container 500 Ml,parcel,,veg,yes,5,,,,
532,Container 250 Ml,parcel,,veg,yes,4,,,,
556,Jigerthanda,parcel,,veg,yes,75,,,,
470,Soda,parcel,,veg,yes,30,,,,
386,Mini Cool Drinks,parcel,,veg,yes,15,,,,
358,Water Bottel,parcel,,veg,yes,20,,,,
777,Pet Bottle,parcel,,veg,yes,30,,,,
491,Extra,parcel,,veg,yes,0,,,,
113,Chilly Bone (Half),Non-veg Dry Dishes,,veg,yes,100,,,,
114,Chilly Boneless (Half),Non-veg Dry Dishes,,veg,yes,180,,,,
481,Chicken Lollipop (2pcs),Non-veg Dry Dishes,,non_veg,yes,100,,,,
126,Chicken Lollipop (4pcs),Non-veg Dry Dishes,,non_veg,yes,200,,,,
542,Prawn Noodles,Noodles Varities,,veg,yes,170,,,,
567,Singapore Noodles,Noodles Varities,,veg,yes,100,,,,
565,Malai Goftha,Veg Gravy Varities,,veg,yes,100,,,,
146,Nattukozhi Fry,Non-veg Dry Dishes,,non_veg,yes,240,,,,
467,Egg Onion Rost,Dosai Varities,,egg,yes,80,,,,
568,Chicken Veechu Parotta,Parotta Varities,,non_veg,yes,200,,,,
80,Chilly Parotta,Parotta Varities,,veg,yes,90,,,,
559,Mushroom Stuff,Parotta Varities,,veg,yes,100,,,,
561,Paneer Stuffed,Parotta Varities,,veg,yes,110,,,,
558,Gobi Stuffed,Parotta Varities,,veg,yes,100,,,,
380,Chicken Stuffed,Parotta Varities,,veg,yes,120,,,,
37,Chappthi,Parotta Varities,,veg,yes,25,,,,
38,Egg Chappthi,Parotta Varities,,egg,yes,45,,,,
579,Egg Kothu Chappthi,Parotta Varities,,egg,yes,90,,,,
581,Mutton Kothu Chappthi,Parotta Varities,,non_veg,yes,200,,,,
580,Chicken Kothu Chaooathi,Parotta Varities,,non_veg,yes,160,,,,
560,Kash Mivi Pulav,Fried Rice Varities,,veg,yes,100,,,,
523,Prawn Fried Rice,Fried Rice Varities,,veg,yes,170,,,,
123,Chicken Fry Bonless,Non-veg Dry Dishes,,veg,yes,170,,,,
531,100ml Continer,parcel,,veg,yes,3,,,,
575,Leaf Parotta,Parotta Varities,,veg,yes,170,,,,
464,Chicken Gravy Bonless,Non-veg Gravy Dishes,,veg,yes,270,,,,
454,Sprite 750 Ml,parcel,,veg,yes,40,,,,
455,Coke 750 Ml,parcel,,veg,yes,40,,,,
502,Mazza 750 Ml,parcel,,veg,yes,45,,,,
382,One Side Omlet,Egg Varities,,veg,yes,20,,,,
439,Nethilyi  Fish Pepper Fry,Sea Food Varities,,veg,yes,170,,,,
359,Water Bottel 2litter,parcel,,veg,yes,30,,,,
564,Chilly Chiken Biriyani,Biryani Varities,,non_veg,yes,190,,,,
601,Nattukoli Biriyani,Biryani Varities,,non_veg,yes,250,,,,
471,Soda Pet Bottle,Beverages,,veg,yes,25,,,,
585,Coco Natta,Beverages,,veg,yes,60,,,,
,Nattukozhi Pallipalayam,Non-veg Dry Dishes,,non_veg,yes,300,,,,
